"";"X";"protein.acs";"X.1";"protein.g";"ID";"Description";"Gene";"global.peptide.count";"global.spectra.count";"global.dNSAF";"peptide.count.P5828.1.id.csv";"peptide.count.P5828.2.id.csv";"spectra.count.P5828.1.id.csv";"spectra.count.P5828.2.id.csv";"dNSAF.P5828.1.id.csv";"dNSAF.P5828.2.id.csv";"Go.Cc";"norm.sc"
"17";17;"O14975";"O14975-1,O14975-2";"O14975-1,O14975-2";"S27A2_HUMAN";"Very long-chain acyl-CoA synthetase";"SLC27A2";1;1;4,84145350839828e-05;1;NA;1;NA;NA;NA;"mitochondrion, endoplasmic reticulum lumen, peroxisomal membrane, endoplasmic reticulum membrane, integral component of peroxisomal membrane, extracellular vesicular exosome, integral component of endoplasmic reticulum membrane";0,000230043708304578
"27";27;"O15427";"O15427";"O15427";"MOT4_HUMAN";"Monocarboxylate transporter 4";"SLC16A3";3;6;0,000774632561343724;2;2;3;3;0,00115071580827472;0,000766156428915593;"plasma membrane, nuclear membrane, membrane, actin cytoskeleton, integral component of plasma membrane";0,00138026224982747
"85";85;"P05141";"P05141";"P05141";"ADT2_HUMAN";"ADP/ATP translocase 2";"SLC25A5";1;4;0,00499612007685449;1;1;1;3;0,00299263339400304;0,00777083156509188;"mitochondrion, integral component of plasma membrane, mitochondrial nucleoid, mitochondrial inner membrane, MMXD complex";0,000920174833218311
"102";102;"P08195";"P08195-1";"P08195-1";"4F2_HUMAN";"4F2 cell-surface antigen heavy chain";"SLC3A2";16;38;0,00362109983040836;11;10;15;23;NA;NA;"extracellular vesicular exosome, nucleus, cytoplasm, cell junction, plasma membrane, integral component of membrane, apical plasma membrane, melanosome";0,00874166091557396
"125";125;"P12236";"P12236";"P12236";"ADT3_HUMAN";"ADP/ATP translocase 3";"SLC25A6";1;1;0,00124903001921362;0;1;0;1;0;0,00259027718836396;"mitochondrion, mitochondrial inner membrane, mitochondrial inner membrane presequence translocase complex, integral component of membrane";0,000230043708304578
"287";287;"P53985";"P53985";"P53985";"MOT1_HUMAN";"Monocarboxylate transporter 1";"SLC16A1";4;5;0,000600340235041386;2;2;2;3;0,000713443801130326;0,000712525478891502;"mitochondrion, integral component of plasma membrane, integral component of membrane, centrosome, membrane, extracellular vesicular exosome, plasma membrane";0,00115021854152289
"382";382;"Q00325";"Q00325-1,Q00325-2";"Q00325-1,Q00325-2";"MPCP_HUMAN";"Phosphate carrier protein, mitochondrial";"SLC25A3";4;6;0,000497519531802254;NA;4;NA;6;NA;NA;"extracellular vesicular exosome, mitochondrion, integral component of plasma membrane, mitochondrial inner membrane";0,00138026224982747
"388";388;"Q01650";"Q01650";"Q01650";"LAT1_HUMAN";"Large neutral amino acids transporter small subunit 1";"SLC7A5";6;12;0,00142092363323405;5;3;8;4;0,00281437396895592;0,000936917132007234;"nucleus, integral component of membrane, cytosol, apical plasma membrane, nucleolus, plasma membrane, extracellular vesicular exosome";0,00276052449965493
"436";436;"Q15043";"Q15043-1,Q15043-2,Q15043-3";"Q15043-1,Q15043-2,Q15043-3";"S39AE_HUMAN";"Zinc transporter ZIP14";"SLC39A14";1;1;4,06734576586305e-05;NA;1;NA;1;NA;NA;"endoplasmic reticulum, lamellipodium, integral component of plasma membrane, integral component of membrane, plasma membrane, Golgi apparatus";0,000230043708304578
"444";444;"Q15758";"Q15758-1";"Q15758-1";"AAAT_HUMAN";"Neutral amino acid transporter B(0)";"SLC1A5";2;2;0,000221937240311049;1;1;1;1;NA;NA;"melanosome, integral component of plasma membrane, plasma membrane, Golgi apparatus, extracellular vesicular exosome, membrane";0,000460087416609156
"546";546;"Q9ULF5";"Q9ULF5";"Q9ULF5";"S39AA_HUMAN";"Zinc transporter ZIP10";"SLC39A10";1;1;7,22431089099141e-05;1;NA;1;NA;0,000214634115863516;NA;"integral component of membrane";0,000230043708304578
"311";311;"P61221";"P61221";"P61221";"ABCE1_HUMAN";"ATP-binding cassette sub-family E member 1";"ABCE1";3;5;0,000501118727079621;2;1;2;3;0,000595529049357534;0,000594762503248332;"cytoplasm, mitochondrion";0,00115021854152289
"476";476;"Q8NE71";"Q8NE71-1,Q8NE71-2";"Q8NE71-1,Q8NE71-2";"ABCF1_HUMAN";"ATP-binding cassette sub-family F member 1";"ABCF1";2;2;7,10461816617025e-05;NA;2;NA;2;NA;NA;"ribosome, polysomal ribosome, cytoplasm, nucleoplasm, nuclear envelope";0,000460087416609156
