UniProt Accession;Letter code
Q676U5;H
P56377;D
O00203;H
Q8WWN8;H
P25098;H
P18085;H
Q9H0F7;D, MM
O43150;H
O95352;H
Q8NFJ9;D, MM
Q86UW7;H
P61923;H
Q9Y3R5;H
O95166;H
Q96ED9;H
Q9H1H9;H
P49257;H
Q8NI22;H
Q5JRA6;H
Q9Y4I1;D, MM
Q8NC96;H
P25116;H
Q92968;H
Q6IQ22;R
P51153;H
P59190;R
P62820;H
Q9UL25;H
P57735;R
P61019;R
Q13636;H
P20336;H
P20337;R
O95716;H
P20338;R
P61018;R
P20339;R
P61020;R
P51148;R
P51149;R
O14966;R
P61006;R
P51151;R
P51159;R
Q8IUD2;H
Q9Y6B6;H
O95486;H
Q9NQW1;H
O95721;D, MM
Q9Y5X0;H
Q9Y5X2;H
Q92783;H
Q13277;H
O75674;H
Q969M1;H
P49755;H
Q9H9H4;H
Q6FIF0;H
O00189;H July
O14925;H July
Q587I9;H July
Q5JRA6;H July
Q5T5C0;H July
Q9BY43;H July
Q9BYV8;H July
Q9NZ52;H July
P62491;Goldenring
Q15907;Goldenring
Q6WKZ4-4;Goldenring
Q9BXF6;Goldenring
Q7L804;Goldenring
Q6WKZ4-5;Goldenring
P62330;Goldenring

